Light intensity 1%,,,,Light Intensity 3%,,,,Light Intensity 10%,,,,Light Intensity 16%,,,,Light Intensity 25%,,,,Light Intensity 32%,,,,Light Intensity 40%,,,,Light Intensity 50%,,,,Liight Intensity 63%,,,,Light Intensity 79%,,,,Light Intensity 93%,,,,Light Intensity 100%,,,,
Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,
-5.00E-01,-1.83E-05,,,-5.00E-01,-3.69E-05,,,-5.00E-01,-1.23E-04,,,-5.00E-01,-1.70E-04,,,-5.00E-01,-2.76E-04,,,-5.00E-01,-3.78E-04,,,-5.00E-01,-4.64E-04,,,-5.00E-01,-5.54E-04,,,-5.00E-01,-6.88E-04,,,-5.00E-01,-8.44E-04,,,-5.00E-01,-9.93E-04,,,-5.00E-01,-1.05E-03,,,
-4.65E-01,-1.83E-05,,,-4.65E-01,-3.68E-05,,,-4.65E-01,-1.23E-04,,,-4.65E-01,-1.70E-04,,,-4.65E-01,-2.77E-04,,,-4.65E-01,-3.77E-04,,,-4.65E-01,-4.65E-04,,,-4.65E-01,-5.53E-04,,,-4.65E-01,-6.89E-04,,,-4.65E-01,-8.43E-04,,,-4.65E-01,-9.94E-04,,,-4.65E-01,-1.05E-03,,,
-4.31E-01,-1.82E-05,,,-4.31E-01,-3.69E-05,,,-4.31E-01,-1.23E-04,,,-4.31E-01,-1.70E-04,,,-4.31E-01,-2.75E-04,,,-4.31E-01,-3.78E-04,,,-4.31E-01,-4.67E-04,,,-4.31E-01,-5.53E-04,,,-4.31E-01,-6.89E-04,,,-4.31E-01,-8.42E-04,,,-4.31E-01,-9.93E-04,,,-4.31E-01,-1.05E-03,,,
-3.96E-01,-1.83E-05,,,-3.96E-01,-3.69E-05,,,-3.96E-01,-1.23E-04,,,-3.96E-01,-1.70E-04,,,-3.96E-01,-2.74E-04,,,-3.96E-01,-3.76E-04,,,-3.96E-01,-4.66E-04,,,-3.96E-01,-5.52E-04,,,-3.96E-01,-6.90E-04,,,-3.96E-01,-8.42E-04,,,-3.96E-01,-9.90E-04,,,-3.96E-01,-1.05E-03,,,
-3.61E-01,-1.83E-05,,,-3.61E-01,-3.68E-05,,,-3.61E-01,-1.23E-04,,,-3.61E-01,-1.69E-04,,,-3.61E-01,-2.75E-04,,,-3.61E-01,-3.78E-04,,,-3.61E-01,-4.64E-04,,,-3.61E-01,-5.53E-04,,,-3.61E-01,-6.89E-04,,,-3.61E-01,-8.42E-04,,,-3.61E-01,-9.91E-04,,,-3.61E-01,-1.05E-03,,,
-3.27E-01,-1.82E-05,,,-3.27E-01,-3.67E-05,,,-3.27E-01,-1.23E-04,,,-3.27E-01,-1.70E-04,,,-3.27E-01,-2.76E-04,,,-3.27E-01,-3.77E-04,,,-3.27E-01,-4.63E-04,,,-3.27E-01,-5.52E-04,,,-3.27E-01,-6.86E-04,,,-3.27E-01,-8.39E-04,,,-3.27E-01,-9.93E-04,,,-3.27E-01,-1.05E-03,,,
-2.92E-01,-1.82E-05,,,-2.92E-01,-3.67E-05,,,-2.92E-01,-1.23E-04,,,-2.92E-01,-1.70E-04,,,-2.92E-01,-2.75E-04,,,-2.92E-01,-3.76E-04,,,-2.92E-01,-4.66E-04,,,-2.92E-01,-5.52E-04,,,-2.92E-01,-6.89E-04,,,-2.92E-01,-8.37E-04,,,-2.92E-01,-9.93E-04,,,-2.92E-01,-1.05E-03,,,
-2.57E-01,-1.82E-05,,,-2.57E-01,-3.68E-05,,,-2.57E-01,-1.23E-04,,,-2.57E-01,-1.69E-04,,,-2.57E-01,-2.74E-04,,,-2.57E-01,-3.76E-04,,,-2.57E-01,-4.65E-04,,,-2.57E-01,-5.51E-04,,,-2.57E-01,-6.91E-04,,,-2.57E-01,-8.40E-04,,,-2.57E-01,-9.87E-04,,,-2.57E-01,-1.05E-03,,,
-2.22E-01,-1.81E-05,,,-2.22E-01,-3.67E-05,,,-2.22E-01,-1.23E-04,,,-2.22E-01,-1.70E-04,,,-2.22E-01,-2.75E-04,,,-2.22E-01,-3.76E-04,,,-2.22E-01,-4.63E-04,,,-2.22E-01,-5.51E-04,,,-2.22E-01,-6.91E-04,,,-2.22E-01,-8.38E-04,,,-2.22E-01,-9.88E-04,,,-2.22E-01,-1.05E-03,,,
-1.88E-01,-1.82E-05,,,-1.88E-01,-3.67E-05,,,-1.88E-01,-1.23E-04,,,-1.88E-01,-1.70E-04,,,-1.88E-01,-2.75E-04,,,-1.88E-01,-3.77E-04,,,-1.88E-01,-4.64E-04,,,-1.88E-01,-5.52E-04,,,-1.88E-01,-6.89E-04,,,-1.88E-01,-8.38E-04,,,-1.88E-01,-9.89E-04,,,-1.88E-01,-1.05E-03,,,
-1.53E-01,-1.82E-05,,,-1.53E-01,-3.66E-05,,,-1.53E-01,-1.23E-04,,,-1.53E-01,-1.69E-04,,,-1.53E-01,-2.74E-04,,,-1.53E-01,-3.76E-04,,,-1.53E-01,-4.64E-04,,,-1.53E-01,-5.52E-04,,,-1.53E-01,-6.87E-04,,,-1.53E-01,-8.36E-04,,,-1.53E-01,-9.89E-04,,,-1.53E-01,-1.05E-03,,,
-1.18E-01,-1.82E-05,,,-1.18E-01,-3.67E-05,,,-1.18E-01,-1.23E-04,,,-1.18E-01,-1.70E-04,,,-1.18E-01,-2.73E-04,,,-1.18E-01,-3.74E-04,,,-1.18E-01,-4.64E-04,,,-1.18E-01,-5.50E-04,,,-1.18E-01,-6.88E-04,,,-1.18E-01,-8.36E-04,,,-1.18E-01,-9.84E-04,,,-1.18E-01,-1.05E-03,,,
-8.37E-02,-1.81E-05,,,-8.37E-02,-3.67E-05,,,-8.37E-02,-1.23E-04,,,-8.37E-02,-1.69E-04,,,-8.37E-02,-2.75E-04,,,-8.37E-02,-3.75E-04,,,-8.37E-02,-4.62E-04,,,-8.37E-02,-5.50E-04,,,-8.37E-02,-6.88E-04,,,-8.37E-02,-8.34E-04,,,-8.37E-02,-9.84E-04,,,-8.37E-02,-1.05E-03,,,
-4.90E-02,-1.82E-05,,,-4.90E-02,-3.66E-05,,,-4.90E-02,-1.23E-04,,,-4.90E-02,-1.69E-04,,,-4.90E-02,-2.75E-04,,,-4.90E-02,-3.75E-04,,,-4.90E-02,-4.62E-04,,,-4.90E-02,-5.50E-04,,,-4.90E-02,-6.87E-04,,,-4.90E-02,-8.37E-04,,,-4.90E-02,-9.86E-04,,,-4.90E-02,-1.05E-03,,,
